district,lake_and_remark
Achham,Khaptad
Achham,Ramaroshan
Achham,Kalidaha
Achham,Batulee
Achham,Barha Banda Aathara Khanada
Bajhang,Surma Sarovar
Bajhang,Tima daha
Bajura,Chhede daha
Bajura,Budhinanda
Bajura,Kailash Tal
Bajura,Rakshyas
Bajura,Masta daha
Banke,Bageshwari Talau
Banke,Rani Talau
Banke,Waterpark
Bara,Gadiganga Taal
Bara,Halkhoria Lake
Bara,Ishara Pokhari
Bara,Jharkhuria Lake
Bara,Kamini Daha
Bara,Ramjanaki Pokhari
Bara,Sohiri Lake
Bardiya,Badhaiya Taal
Bhaktapur,Kamal Pokhari
Bhaktapur,Naag Pokhari
Bhaktapur,Nu Pukhu
Bhaktapur,Bodegaun Ponds
Bhaktapur,Siddha Pokhari
Bhojpur,Chyangre Pokhari (Panchakanya Pokhari)
Bhojpur,Haas Pokhari
Bhojpur,Kal pokhari
Bhojpur,Manedanda Pokhari
Bhojpur,Nira Pokhari
Bhojpur,Salpa Pokhari
Chitwan,Anjana Taal
Chitwan,Baikunthe Taal
Chitwan,Bishazari Tal(Ramsar Site)
Chitwan,Chepang Taal
Chitwan,Chisapani taal
Chitwan,Gaduwa taal
Chitwan,Ghaila Taal
Chitwan,Kasara Taal
Chitwan,Khageri Dam
Chitwan,Nanda Vauju taal
Chitwan,Rani Pokhari
Chitwan,Rhino Taal
Chitwan,Tamorghaila Taal
Chitwan,Tikauli Taal
Dadeldhura,Ali Taal(Dadeldhura) (Lake)
Dadeldhura,Bodapathi Tal (Lake)
Dadeldhura,Nayal Tal (Lake)
Dailekh,kunya lake
Dang,Jyamire Taal
Dang,Barhakune Daha
Dang,Charinge Daha
Dang,Gaurigaun Taal
Dang,Jakhera Picnic Spot
Dang,Bhote Daha
Dang,Kichkanni Taal
Darchula,Brahama Daha
Darchula,Pasa Daha
Dhading,Ganga Jamuna Tal
Dhankuta,Marga Pokhari
Dhankuta,Rani Taal
Dhanusha,Aagni Kund
Dhanusha,Angraj Sar
Dhanusha,Beeshahara Sagar
Dhanusha,Bihar Kunda
Dhanusha,Bindhichowk Pokhari
Dhanusha,Biral Sagar
Dhanusha,Chapkai Pokhari
Dhanusha,Devpura Lake
Dhanusha,Dhanu Sagar
Dhanusha,Ganga Sagar
Dhanusha,Gautam Sarobar
Dhanusha,Ithi Pokhari
Dhanusha,Kapalmochani Sagar
Dhanusha,Kuti Pokhari
Dhanusha,Laski Pokhari (Shiva Sagar)
Dhanusha,Maharaj Sagar
Dhanusha,Manipal Taal
Dhanusha,Murali Sagar
Dhanusha,Parseni Sagar
Dhanusha,Rukmini Sagar
Dhanusha,Singrahi Lake
Dhanusha,Subbaji Pokhari
Dhanusha,Tarahi Pokhari (Laksman Sar)
Dolakha,Jata Pokhari
Dolakha,Shiva Pokhari
Dolakha,Simpani Pokhari
Dolakha,Thuli Pokhari
Dolakha,Cho-Rolpa Lake
Doti,Khaptad Lake
Doti,Ali Taal(Dadeldhura)
Doti,Chatiwan Lake
Ilam,Aahal Pokhari
Ilam,Antu Pokhari
Ilam,Bijay pokhari
Ilam,Dhap Pokhari ( The largest lake in Ilam)
Ilam,Gore Pokhari (Seti Devi)
Ilam,Jor Pokhari
Ilam,Jhyau Pokhari
Ilam,Mai Pokhari
Ilam,Suke Pokhari
Ilam,Uttare Pokhari
Jhapa,Lajeko Badh
Jhapa,Arna Khadi
Jhapa,Indreni Tal
Jhapa,Mahadev Than Badh
Jhapa,Dadagaun Badh
Jhapa,Dudamari Badh (I)
Jhapa,Dudamari Badh (II) Kunwar Tol
Jhapa,Lahure Badh
Jhapa,Katahare Badh
Jhapa,Pagari Badh
Jhapa,Banyani Badh
Jhapa,Devi Paini
Jhapa,Deunia Khadi
Jhapa,Pathriya Khadi
Jhapa,Kechana Rani Pokhari
Jhapa,Dhanusha Pokhari
Jhapa,Arjundhara
Jhapa,Jamunkhadi
Jhapa,Dhamala Badh
Khotang,Bane Pokhari
Khotang,Baraha Pokhari
Khotang,Chhitta Pokhari
Khotang,Homma Pokhari
Khotang,Indreni Pokhari
Khotang,Kaali Pokhari
Khotang,Laamche Pokhari
Morang,imja
Morang,Rani Pokhari Katahari
Morang,Raja Rani Pokhari
Morang,Sunbarsi Pokhari
Okhaldhunga,None
Panchthar,Hile Pokhari
Panchthar,Suke Pokhari
Panchthar,Gunte Pokhari
Panchthar,Harkote Pokhari
Panchthar,Lam Pokhari
Panchthar,Dabala Pokhari
Panchthar,Jor Pokhari A
Panchthar,Jor Pokhari B
Panchthar,Suke Pokhari B
Sankhuwasabha,Ghante Pokhari
Sankhuwasabha,Lam Pokhari
Sankhuwasabha,Gupha Pokhari
Sankhuwasabha,Panch Pokhari
Sankhuwasabha,Lampokhari
Sankhuwasabha,Khopi Pokhari
Sankhuwasabha,Savapokhari
Sankhuwasabha,Bhute Pokhari
Sankhuwasabha,Jaljala Pokhari
Sankhuwasabha,Baulaha Pokhari
Sankhuwasabha,PachPokhari
Sankhuwasabha,Ratto Pokhari
Sankhuwasabha,Dudhpokhari
Sankhuwasabha,Siddhapokhari
Sankhuwasabha,Sano Pokhari
Sankhuwasabha,Thulo Pokhari
Sankhuwasabha,Tato Chhanju Pokhri
Sankhuwasabha,Banduke Pokhari
Sankhuwasabha,KalPokhaari
Sankhuwasabha,Akle Pokhari
Sankhuwasabha,Tinpokhari
Sankhuwasabha,Nunriri Pokhari
Sankhuwasabha,Khuisi Pokhari
Sankhuwasabha,Metalung Pokhari
Sankhuwasabha,Thampokhari
Sankhuwasabha,Sadhu Pokhari
Sankhuwasabha,Thulo Tatopni Spring (Nundhaki)
Saptari,Kamal Daha
Saptari,Jhola Daha (Gopit Ganga)
Saptari,Lohajara Thakur Daha
Saptari,Purni Pokhari
Saptari,Sakuwayi Pokhari
Saptari,Singaya Dhar
Saptari,Singrahi Pokhari
Saptari,Thani Pokhari
Saptari,Bagmohi Nadi
Saptari,Mutni Nadi
Saptari,Ghordha Nadi
Saptari,Khadak Nadi
Saptari,Khado Nadi
Saptari,Balan Nadi
Siraha,Aada Pokhari
Siraha,Baban Tol Pokhari
Siraha,Beli Pokhari
Siraha,Bishnupur Pokhari
Siraha,Dewal Pokhari
Siraha,Kamal Daha
Siraha,Mahadev Pokhari
Siraha,Manik Daha
Siraha,Narahiya Pokhari
Siraha,Naya Bandh
Siraha,Patari Pokhari
Siraha,Purni Pokhari
Siraha,Rajdevi Pokhari
Siraha,Bhabari baisakha dah
Solukhumbu,Phurke Pokhari
Solukhumbu,Suke Pokhari
Solukhumbu,Gokyo Lake Series (Ramsar Site)
Sunsari,Barju Taal
Sunsari,Daita Pokhari
Sunsari,Magar Daha
Sunsari,Ra-Sa Taal
Sunsari,Ramdhuni in ikrai(Rupesh Gupta's village) Sunsari.
Sunsari,"Taal Talaiya, Itahari"
Taplejung,Kali Pokhari 'A'
Taplejung,Kali Pokhari 'B'
Taplejung,Suke Pokhari
Tehrathum,Chichiling Pokhari
Tehrathum,Panchakanya Chhather Pokhari
Tehrathum,Mudke Aahal
Tehrathum,Marga Pokhari
Udayapur,Belha Gavi
Udayapur,Dhar Pokhari
Udayapur,Rautamai Pokhari
Udayapur,Taple Pokhari
Kathmandu,Gahana Pokhari
Kathmandu,Ikha Pokhari
Kathmandu,Kamal Pokhari
