sn,Developer,Projects,Capacity (kW),PPA Date,Commercial Operation Date
1,Himal Power Ltd.,Khimti Khola,60000,2052.10.01,2057.03.27
2,Bhotekoshi Power Company Ltd.,Upper Bhotekoshi,45000,2053.04.06,2057.10.11
3,Syange Electricity Company Limited,Syange Khola,183,2058.10.03,2058.10.10
4,National Hydro Power Company Ltd.,Indrawati - III,7500,2054.09.15,2059.06.21
5,Chilime Hydro Power Company Ltd.,Chilime,22100,2054.03.11,2060.05.08
6,Butwal Power Company Ltd.,Jhimruk Khola,12000,2058.03.29,1994
7,Butwal Power Company Ltd.,Andhi Khola,9400,2058.03.29,2071.12.22
8,Arun Valley Hydropower Development Co. (P.) Ltd.,Piluwa Khola Small,3000,2056.10.09,2060.06.01
9,Rairang Hydro Power Development Co. (P) Ltd.,Rairang Khola,500,2059.08.27,2061.08.01
10,Sanima Hydropower (Pvt.) Ltd.,Sunkoshi Small,2500,2058.07.28,2061.12.11
11,Alliance Power Nepal Pvt.Ltd.,Chaku Khola,3000,2056.11.03,2062.03.01
12,Khudi Hydropower Ltd.,Khudi Khola,4000,2058.03.04,2063.09.15
13,Unique Hydel Co. Pvt.Ltd.,Baramchi Khola,4200,2058.12.14,2063.09.27
14,Thoppal Khola Hydro Power Co. Pvt. Ltd.,Thoppal Khola,1650,2059.11.23,2064.07.13
15,Gautam Buddha Hydropower (Pvt.) Ltd.,Sisne Khola Small,750,2061.04.29,2064.06.01
16,Kathmandu Small Hydropower Systems Pvt. Ltd.,Sali Nadi,250,2062.04.24,2064.08.01
17,Khoranga Khola Hydropower Dev. Co. Pvt. Ltd.,Pheme Khola,995,2057.12.31,2064.08.05
18,Unified Hydropower (P.) Ltd.,Pati Khola Small,996,2062.10.28,2065.10.27
19,Task Hydropower Company (P.) Ltd.,Seti-II,979,2063.06.08,2065.11.14
20,Ridi Hydropower Development Co. (P.) Ltd.,Ridi Khola,2400,2063.05.08,2066.07.10
21,Centre for Power Dev. And Services (P.) Ltd.,Upper Hadi Khola,991,2064.04.07,2066.07.22
22,Gandaki Hydro Power Co. Pvt. Ltd.,Mardi Khola,4800,2060.07.07,2066.10.08
23,Himal Dolkha Hydropower Company  Ltd.,Mai Khola,4500,2063.11.19,2067.10.14
24,Baneswor Hydropower Pvt. Ltd.,Lower Piluwa Small,990,2064.07.21,2068.04.01
25,Barun Hydropower Development Co. (P.) Ltd.,Hewa Khola,4455,2061.04.02,2068.04.17
