"# source: wikipedia.org; retreived: Jan 23, 2021",,,,,
sn,Hydropower ,Location ,Capacity (MW) ,Commissioned ,Owner 
1,Kaligandaki A Hydroelectric Power Station ,Syangja ,144,2002,NEA 
2,Middle Marsyangdi Hydropower Station ,Lamjung ,70,2008,NEA 
3,Mai Hydropower Station ,Illam ,22,2014,Sanima Hydropower 
4,Marsyangdi Hydropower Station ,Tanahun ,69,1989,NEA 
5,Kulekhani I ,Makwanpur ,60,1982,NEA 
6,Sunkoshi Small Hydropower Plant ,Sindhupalchowk ,2.5,2005,Sanima Hydropower 
7,Khimti I Hydropower Plant ,Dolkha ,60,2000,Himal Power Ltd. 
8,Upper Marsyandgi A Hydroelectric Station ,Lamjung,50,2016,"SSPC, Power China "
9,Bhote Koshi Power Plant (Upper Bhote Koshi) ,Sindhupalchowk ,45,2001,Bhote Koshi Power Company Private Limited (BKPC) 
10,Kulekhani II ,Makwanpur ,32,1986,NEA 
11,Chameliya Khola Hydropower Station ,Darchula ,30,2018,NEA 
12,Trishuli Hydropower Station ,Nuwakot ,24,"1967 ( Initially installed capacity was 21 MW, rehabilitated in 1995) ",NEA 
13,Chilime Hydropower Plant ,Rasuwa ,22,2003,Chilime Hydropower Company Ltd. 
14,Gandak Hydropower Station ,Nawalparasi ,15,1979,NEA 
15,Modi Khola Hydroelectric Power Plant ,Parbat ,14.8,2000,NEA 
16,Devighat Hydropower Station ,Nuwakot ,14.1,1984,NEA 
17,Madkyu Khola Hydropower Station ,Kaski ,13,2018,Silkes Hydropower Pvt. Ltd. 
18,Jhimruk Khola Hydropower Station ,Pyuthan ,12,1994,Butwal Power Company Ltd. 
19,Thapa Khola Hydropower Station ,Mustang ,11.2,2018,Mount Kailash Energy Co. Pvt. Ltd. 
20,Sunkoshi Hydropower Station ,Sindhupalchowk ,10.05,1972,NEA 
21,Lower Modi I ,Parbat ,10,2012,United Modi Hydropower Pvt. Ltd. 
22,Andhi Khola Hydropower Station ,Syangja ,9.4,"1991 ( Initially installed capacity was 5.1 MW, rehabilitated in 2016) ",Butwal Power Company Ltd. 
23,Indrawati III Hydropower Station ,Sindhupalchowk ,7.5,2002,National Hydropower Co. Ltd. 
24,Puwa Khola Hydropower Station ,Ilam ,6.2,1999,NEA 
25,Mailung Khola Hydropower Station ,Rasuwa ,5,2013,Mailun Khola Hydropower Pvt. Ltd. 
26,Chatara Hydropower Station ,Sunsari ,3.2,1996,NEA 
27,Panauti (Khopasi) Hydropower ,Kavre ,2.4,1965,NEA 
28,Seti Hydropower Station ,"Pokhara, Kaski",1.5,1985,NEA 
