Day,Name,Established/Recognized by
January 1,Global Family Day[2],
January 1,Polar Bear Swim Day,Various organizations in Canada
January 1,International Public Domain Day,Wallace McLean
January 2,National Science Fiction Day (United States),
January 4,World Braille Day (birthday of Louis Braille),World Health Organization[3]
January 6,National Technology Day[4],"StoAmigo, National Day Calendar"
January 7,Distaff Day,Tradition in parts of Europe
January 9,Pravasi Bharatiya Divas (Non-resident Indian Day),Ministry of External Affairs (India)
January 11,National Human Trafficking Awareness Day[5],
January 11,International Parity at Work Day[6],
January 12,National Youth Day (India); National Vision Board Day[7],Government of India
January 15,Indian Army Day,
January 15,Wikipedia Day[8],Wikipedia editors
January 15,Intestinal malrotation and Volvulus Awareness Day[9],Intestinal Malrotation Foundation
January 16,National Religious Freedom Day,President of the United States
January 21,National Hugging Day (United States),Kevin Zaborney
January 24,Moebius Syndrome Awareness Day[10],
January 24,National Compliment Day [11],
January 24,International Day of Education,United Nations General Assembly[12]
January 25,National Voters' Day (India),Government of India
January 25,Burns Night (Roberts Burns' birth anniversary),Friends of Robert Burns in Scotland
January 26,Australia Day,
January 27,International Holocaust Remembrance Day,United Nations General Assembly[13]
January 27,Family Literacy Day[14],Canada national awareness initiative created by ABC Life Literacy Canada in 1999
January 28,Data Privacy Day a.k.a. Data Protection Day,Council of Europe and various national governments[15]
January 30,CTE Awareness Day,Patrick Risha CTE Awareness Foundation[16]
January 30 (or closest school day),School Day of Non-violence and Peace,Llorenç Vidal Vidal
January 31,Street Children's Day,Jugend Eine Welt
First Monday of January,Handsel Monday[17],Tradition in Scotland
First Monday after Epiphany,Plough Monday,Tradition in parts of England and Belgium
Third Sunday in January,World Religion Day,National Spiritual Assembly of the Bahá'ís of the United States
Last Sunday of January,Leprosy Prevention Day,World Health Organization[18][15]
February 1,Imbolc,Gaelic Traditional
February 1,World Hijab Day[19],
February 1,World Aspergillosis Day,[20]
February 2,Groundhog Day,
February 2,World Wetlands Day,
February 2,Rheumatoid Arthritis Awareness Day[21],
February 4,Sri Lankan Independence Day,
February 4,World Cancer Day,"UN, WHO[13][22]"
February 5,Kashmir Solidarity Day,
February 5,World Nutella Day,
February 6,Sami National Day,
February 6,Waitangi Day (New Zealand),
February 6,International Day of Zero Tolerance to Female Genital Mutilation,WHO[13][23]
February 10,World Pulses Day,"UN, FAO"
February 11,European 112 Day,Instituted by the European Union[24]
February 11,World Day of the Sick,Instituted by Pope John Paul II
February 11,International Day of Women and Girls in Science,UN Women
February 12,Sexual and Reproductive Health Awareness Day,Canadian Federation for Sexual Health[25]
February 12,Darwin Day,
February 12,International Day of Women's Health,Canadian Foundation for Women's Health[26]
February 12,Red Hand Day,Child Soldier Awareness
February 13,World Radio Day,"UN, UNESCO[13][27]"
February 14,World Valentine Day,
February 14,Congenital Heart Defect Awareness Day (Canada),Children's Heart Society[28]
February 14,V-Day,Global day to end violence against women
"February 15 (variously, February 13, 14, or 15)",Singles Awareness Day,
February 15,Total Defence Day (Singapore),
February 15,International Childhood Cancer Day,Childhood Cancer Foundation[29]
February 17,Random Acts of Kindness Day (USA),
February 17,Serbian Statehood Day,
February 20,World Day of Social Justice,UN[30]
February 21,International Mother Language Day[31],"UN, UNESCO[13]"
February 21,Language Movement Day (Bangladesh),
February 21,Global Information Governance Day,
February 22,Founders Day[32],"Scouts' Day, worldwide"
February 22,World Thinking Day[33],
"February 26 (in UK, first Friday in February in USA)",National Wear Red Day,
February 27,World NGO Day[34][35],"Baltic Sea NGO Forum of the Council of the Baltic Sea States,[36]Communities, International Leaders and Organizations"
February 27,"Anosmia Awareness Day,[37]World NGO Day[38]",
February 27,National Pancake Day (USA),
February 28/29 (last day of February),Rare Disease Day[39],
February (first Saturday),Ice Cream for Breakfast Day,
February (the Tuesday falling between the 5th and 11th inclusive),Safer Internet Day[40][41],
February (third Monday),Washington's Birthday,
March 1,World Civil Defence Day[42],
March 1,National Pig Day (USA),
March 1,Self-Injury Awareness Day,Also known as Self-Harm Awareness Day
March 2,Employee Appreciation Day,
March 2,Texas Independence Day,
March 3,World Wildlife Day,UN[43]
March 3,Liberation Day of Republic of Bulgaria,[44]
March 5,Dissociative Identity Disorder Awareness Day,[45]
March 8,International Women's Day,UN[46]
March 10,National Women and Girl's HIV/AIDS Awareness Day[47],
March 10,Mario Day,
March 11,National Singles Day and Solo Poly Day (worldwide),UK[48][49]
March 12,World Glaucoma Day[50],
March 14,Pi Day,
March 14,Steak and Blowjob Day,
March 14,White Day (Japan),
March 15,"World Consumer Rights Day, World Sleep Day",
March 15,World Contact Day,
March 18,Transit Driver Appreciation Day,
March 19,Mario Monti Day (Italy)[citation needed],
March 20,World Oral Health Day[51],The most important day in the dental calendar worldwide organized by World Dental Federation (FDI)
